"longitude","latitude","landuse","mean_temp","mean_pres","site_id","MOCH","MOBL","LEWO","BBMW","Evergreen_forest","Open_shrub","Wood_sav","Sav","Grass","crop","urban"
-122.4491024,38.2538403,12,147.08332824707,58.75,274,0,0,0,0,0,0,0,0,0,1,0
-122.4481201,38.3392327,8,141.91667175293,78.5833358764648,275,0,0,0,0,0,0,1,0,0,0,0
-122.4336749,38.5763226,8,138.41667175293,85.6666641235352,276,0,0,0,0,0,0,1,0,0,0,0
-122.4290657,38.8586916,8,133,73.5833358764648,277,0,0,0,0,0,0,1,0,0,0,0
-122.4488106,39.0182303,8,135.33332824707,63.9166679382324,278,0,0,0,0,0,0,1,0,0,0,0
-122.4076509,39.8021401,10,161,43.4166679382324,279,0,0,1,0,0,0,0,0,1,0,0
-122.43955,39.91534,9,161.91667175293,46.5833320617676,280,0,0,1,0,0,0,0,1,0,0,0
-122.4366617,40.4953627,8,167.25,86.5,281,0,0,0,0,0,0,1,0,0,0,0
-122.4013889,40.59,13,167.58332824707,97.5,282,0,0,0,0,0,0,0,0,0,0,1
-122.4091474,40.6637558,8,162.91667175293,119.833335876465,283,0,0,0,0,0,0,1,0,0,0,0
-122.3916435,37.7152634,13,142,40.8333320617676,284,0,0,0,0,0,0,0,0,0,0,1
-122.3966507,37.7557582,13,142.58332824707,41.5833320617676,285,0,0,0,0,0,0,0,0,0,0,1
-122.38651,38.1991,13,146.5,57.3333320617676,287,0,0,0,0,0,0,0,0,0,0,1
-122.3551869,38.3136123,8,147.16667175293,62.75,288,0,0,0,0,0,0,1,0,0,0,0
-122.3955042,38.3261558,1,141.16667175293,79.5,289,0,0,0,0,1,0,0,0,0,0,0
-122.3531485,38.4192673,8,150.75,60.1666679382324,290,0,0,0,0,0,0,1,0,0,0,0
-122.3529661,38.4995889,8,149.66667175293,67.5833358764648,291,0,0,0,0,0,0,1,0,0,0,0
-122.3690701,38.5213432,8,148.58332824707,70,292,0,0,0,0,0,0,1,0,0,0,0
-122.3714009,38.8645368,8,142.33332824707,62.8333320617676,293,0,0,0,0,0,0,1,0,0,0,0
-122.367568,39.811503,10,161.5,43.5,294,0,0,1,0,0,0,0,0,1,0,0
-122.3875988,40.2200659,9,165.66667175293,58.25,295,0,0,1,0,0,0,0,1,0,0,0
-122.3906136,40.4826011,8,165.66667175293,87.6666641235352,296,0,0,0,0,0,0,1,0,0,0,0
-122.3744801,40.5636002,13,168.66667175293,91.1666641235352,297,0,0,0,0,0,0,0,0,0,0,1
-122.3751962,40.5913623,13,168.41667175293,94.4166641235352,298,0,0,0,0,0,0,0,0,0,0,1
-122.3522618,40.8472178,8,157.33332824707,126,299,0,0,0,0,0,0,1,0,0,0,0
-122.3530197,41.1553934,1,120.833335876465,104.333335876465,300,0,0,0,0,1,0,0,0,0,0,0
-122.3047308,37.8981238,13,145.91667175293,46.8333320617676,302,0,0,0,0,0,0,0,0,0,0,1
-122.3007917,38.1149858,13,146.5,53.8333320617676,303,0,0,0,0,0,0,0,0,0,0,1
-122.3496294,38.3033667,8,147.41667175293,60.4166679382324,305,0,0,0,0,0,0,1,0,0,0,0
-122.3304892,38.4441444,8,148.16667175293,69,306,0,0,0,0,0,0,1,0,0,0,0
-122.3075724,38.9084669,8,148.58332824707,53.6666679382324,307,0,0,0,0,0,0,1,0,0,0,0
-122.3465425,38.9211774,8,151.33332824707,51.0833320617676,308,0,0,0,0,0,0,1,0,0,0,0
